first_name,last_name,email,remaining_goal_amount
Calogero,Cross,calogero.cross@mercantini.it,153288
Lauretta,Neal,lauretta.neal@hotmail.de,151747
Chantal,Armas,chantal.armas@jenkins.net,98164
Ariadna,Geisel,ariadna.geisel@rangel.com,88154
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,72323
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,71872
Henry,Gucci,henry.gucci@leleu.fr,41198
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,40291
Svenja,Perrin,svenja.perrin@berger.com,8362
Caroline,Reeves,caroline.reeves@yahoo.com,3768
Katarina,Clarke,katarina.clarke@hotmail.com.au,3739
Imelda,Guerin,imelda.guerin@stumpf.net,1559
Danny,Farrell,danny.farrell@hotmail.com,1503
Tobias,Carbajal,tobias.carbajal@live.com,426
